League,Conference,Division,Team
NBA,Eastern Conference,Atlantic Division,Boston Celtics
NBA,Eastern Conference,Atlantic Division,Brooklyn Nets
NBA,Eastern Conference,Atlantic Division,New York Knicks
NBA,Eastern Conference,Atlantic Division,Philadelphia 76ers
NBA,Eastern Conference,Atlantic Division,Toronto Raptors
NBA,Eastern Conference,Central Division,Chicago Bulls
NBA,Eastern Conference,Central Division,Cleveland Cavaliers
NBA,Eastern Conference,Central Division,Detroit Pistons
NBA,Eastern Conference,Central Division,Indiana Pacers
NBA,Eastern Conference,Central Division,Milwaukee Bucks
NBA,Eastern Conference,Southeast Division,Atlanta Hawks
NBA,Eastern Conference,Southeast Division,Charlotte Hornets
NBA,Eastern Conference,Southeast Division,Miami Heat
NBA,Eastern Conference,Southeast Division,Orlando Magic
NBA,Eastern Conference,Southeast Division,Washington Wizards
NBA,Western Conference,Northwest Division,Denver Nuggets
NBA,Western Conference,Northwest Division,Minnesota Timberwolves
NBA,Western Conference,Northwest Division,Oklahoma City Thunder
NBA,Western Conference,Northwest Division,Portland Trail Blazers
NBA,Western Conference,Northwest Division,Utah Jazz
NBA,Western Conference,Pacific Division,Golden State Warriors
NBA,Western Conference,Pacific Division,Los Angeles Clippers
NBA,Western Conference,Pacific Division,Los Angeles Lakers
NBA,Western Conference,Pacific Division,Phoenix Suns
NBA,Western Conference,Pacific Division,Sacramento Kings
NBA,Western Conference,Southwest Division,Dallas Mavericks
NBA,Western Conference,Southwest Division,Houston Rockets
NBA,Western Conference,Southwest Division,Memphis Grizzlies
NBA,Western Conference,Southwest Division,New Orleans Pelicans
NBA,Western Conference,Southwest Division,San Antonio Spurs
