Division,Conference,School
Division I,A-10,Davidson College
Division I,A-10,University of Dayton
Division I,A-10,Duquesne University
Division I,A-10,Fordham University
Division I,A-10,George Mason University
Division I,A-10,George Washington University (GW)
Division I,A-10,La Salle University
Division I,A-10,Loyola University Chicago (Loyola Chicago)
Division I,A-10,University of Massachusetts Amherst (UMass)
Division I,A-10,University of Rhode Island
Division I,A-10,University of Richmond
Division I,A-10,St. Bonaventure University
Division I,A-10,Saint Joseph's University (Saint Joe's)
Division I,A-10,Saint Louis University (SLU)
Division I,A-10,Virginia Commonwealth University (VCU)
Division I,ACC,Boston College (BC)
Division I,ACC,"University of California, Berkeley (California, Cal)"
Division I,ACC,Clemson University
Division I,ACC,Duke University
Division I,ACC,Florida State University (FSU)
Division I,ACC,Georgia Institute of Technology (Georgia Tech)
Division I,ACC,University of Louisville
Division I,ACC,University of Miami (often Miami (FL) or UM)
Division I,ACC,"University of North Carolina at Chapel Hill (North Carolina, UNC)"
Division I,ACC,North Carolina State University (NC State)
Division I,ACC,University of Notre Dame
Division I,ACC,University of Pittsburgh (Pitt)
Division I,ACC,Southern Methodist University (SMU)
Division I,ACC,Stanford University
Division I,ACC,Syracuse University
Division I,ACC,University of Virginia (UVA)
Division I,ACC,Virginia Polytechnic Institute and State University (Virginia Tech)
Division I,ACC,Wake Forest University
Division I,America East,"University at Albany, SUNY (Albany or UAlbany)"
Division I,America East,Binghamton University
Division I,America East,Bryant University
Division I,America East,University of Maine (UMaine)
Division I,America East,"University of Maryland, Baltimore County (UMBC)"
Division I,America East,University of Massachusetts Lowell (UMass Lowell)
Division I,America East,University of New Hampshire
Division I,America East,New Jersey Institute of Technology (NJIT)
Division I,America East,University of Vermont
Division I,The American,University of North Carolina at Charlotte (Charlotte)
Division I,The American,East Carolina University (ECU)
Division I,The American,Florida Atlantic University (FAU)
Division I,The American,University of Memphis (U of M)
Division I,The American,University of North Texas (UNT)
Division I,The American,Rice University
Division I,The American,University of South Florida (USF)
Division I,The American,Temple University
Division I,The American,University of Alabama at Birmingham (UAB)
Division I,The American,University of Texas at San Antonio (UTSA)
Division I,The American,Tulane University
Division I,The American,University of Tulsa
Division I,The American,Wichita State University
Division I,ASUN,Austin Peay State University (Austin Peay)
Division I,ASUN,Bellarmine University
Division I,ASUN,University of Central Arkansas
Division I,ASUN,Eastern Kentucky University
Division I,ASUN,Florida Gulf Coast University (FGCU)
Division I,ASUN,Jacksonville University
Division I,ASUN,Lipscomb University
Division I,ASUN,University of North Alabama
Division I,ASUN,University of North Florida
Division I,ASUN,Queens University of Charlotte[a]
Division I,ASUN,Stetson University
Division I,ASUN,University of West Georgia[b]
Division I,Big 12,University of Arizona
Division I,Big 12,Arizona State University
Division I,Big 12,Baylor University
Division I,Big 12,Brigham Young University (BYU)
Division I,Big 12,University of Central Florida (UCF)
Division I,Big 12,University of Cincinnati (UC)
Division I,Big 12,University of Colorado Boulder (Colorado)
Division I,Big 12,University of Houston
Division I,Big 12,Iowa State University
Division I,Big 12,University of Kansas
Division I,Big 12,Kansas State University
Division I,Big 12,Oklahoma State University–Stillwater (Oklahoma State)
Division I,Big 12,Texas Christian University (TCU)
Division I,Big 12,Texas Tech University
Division I,Big 12,University of Utah
Division I,Big 12,West Virginia University (WVU)
Division I,Big East,Butler University
Division I,Big East,Creighton University
Division I,Big East,DePaul University
Division I,Big East,Georgetown University
Division I,Big East,Marquette University
Division I,Big East,Providence College
Division I,Big East,St. John's University
Division I,Big East,Seton Hall University
Division I,Big East,University of Connecticut (UConn)
Division I,Big East,Villanova University
Division I,Big East,Xavier University
Division I,Big Sky,Eastern Washington University
Division I,Big Sky,University of Idaho
Division I,Big Sky,Idaho State University
Division I,Big Sky,University of Montana
Division I,Big Sky,Montana State University
Division I,Big Sky,Northern Arizona University
Division I,Big Sky,University of Northern Colorado
Division I,Big Sky,Portland State University
Division I,Big Sky,"California State University, Sacramento (Sacramento State)"
Division I,Big Sky,Weber State University
Division I,Big South,Charleston Southern University
Division I,Big South,Gardner–Webb University
Division I,Big South,High Point University
Division I,Big South,Longwood University
Division I,Big South,Presbyterian College
Division I,Big South,Radford University
Division I,Big South,University of North Carolina at Asheville (UNC Asheville)
Division I,Big South,University of South Carolina Upstate (USC Upstate)
Division I,Big South,Winthrop University
Division I,Big Ten,"University of California, Los Angeles (UCLA)"
Division I,Big Ten,"University of Illinois Urbana–Champaign (Illinois, U of I)"
Division I,Big Ten,"Indiana University Bloomington (Indiana, IU)"
Division I,Big Ten,University of Iowa
Division I,Big Ten,"University of Maryland, College Park (Maryland)"
Division I,Big Ten,University of Michigan
Division I,Big Ten,Michigan State University
Division I,Big Ten,University of Minnesota
Division I,Big Ten,University of Nebraska–Lincoln (Nebraska)
Division I,Big Ten,Northwestern University
Division I,Big Ten,Ohio State University
Division I,Big Ten,University of Oregon
Division I,Big Ten,Pennsylvania State University (Penn State)
Division I,Big Ten,Purdue University
Division I,Big Ten,Rutgers University–New Brunswick (Rutgers)
Division I,Big Ten,University of Southern California (USC)
Division I,Big Ten,University of Wisconsin–Madison (Wisconsin)
Division I,Big Ten,"University of Washington (UW, U-Dub)"
Division I,Big West,California Polytechnic State University (Cal Poly)
Division I,Big West,"California State University, Bakersfield (CSU Bakersfield or Cal State Bakersfield)"
Division I,Big West,"California State University, Fullerton (Cal State Fullerton)"
Division I,Big West,"California State University, Northridge (Cal State Northridge or CSUN)"
Division I,Big West,University of Hawaiʻi at Mānoa (Hawaii)
Division I,Big West,"California State University, Long Beach (Long Beach State)"
Division I,Big West,"University of California, Davis (UC Davis)"
Division I,Big West,"University of California, Irvine (UC Irvine)"
Division I,Big West,"University of California, Riverside (UC Riverside)"
Division I,Big West,"University of California, San Diego (UC San Diego, UCSD)"
Division I,Big West,"University of California, Santa Barbara (UC Santa Barbara, UCSB)"
Division I,CAA,Campbell University
Division I,CAA,College of Charleston (Charleston)
Division I,CAA,University of Delaware
Division I,CAA,Drexel University
Division I,CAA,Elon University
Division I,CAA,Hampton University
Division I,CAA,Hofstra University
Division I,CAA,Monmouth University
Division I,CAA,North Carolina Agricultural and Technical State University (North Carolina A&T)
Division I,CAA,Northeastern University
Division I,CAA,Stony Brook University
Division I,CAA,Towson University
Division I,CAA,University of North Carolina at Wilmington (UNCW or UNC Wilmington)
Division I,CAA,College of William & Mary
Division I,Conference USA,Florida International University (FIU)
Division I,Conference USA,Jacksonville State University
Division I,Conference USA,Kennesaw State University
Division I,Conference USA,Liberty University
Division I,Conference USA,Louisiana Tech University
Division I,Conference USA,"Middle Tennessee State University (Middle Tennessee, MTSU)"
Division I,Conference USA,New Mexico State University
Division I,Conference USA,Sam Houston State University (Sam Houston)
Division I,Conference USA,University of Texas at El Paso (UTEP)
Division I,Conference USA,Western Kentucky University (WKU)
Division I,Horizon League,Cleveland State University
Division I,Horizon League,University of Detroit Mercy
Division I,Horizon League,Indiana University Indianapolis (IU Indy)
Division I,Horizon League,University of Wisconsin-Milwaukee (Milwaukee)
Division I,Horizon League,Northern Kentucky University (NKU)
Division I,Horizon League,Oakland University
Division I,Horizon League,Purdue University Fort Wayne (Purdue Fort Wayne)
Division I,Horizon League,Robert Morris University
Division I,Horizon League,University of Wisconsin–Green Bay (Green Bay)
Division I,Horizon League,Wright State University
Division I,Horizon League,Youngstown State University
Division I,Ivy League,Brown University
Division I,Ivy League,Columbia University
Division I,Ivy League,Cornell University
Division I,Ivy League,Dartmouth College
Division I,Ivy League,Harvard University
Division I,Ivy League,University of Pennsylvania (Penn)
Division I,Ivy League,Princeton University
Division I,Ivy League,Yale University
Division I,MAAC,Canisius University
Division I,MAAC,Fairfield University
Division I,MAAC,Iona University
Division I,MAAC,Manhattan University
Division I,MAAC,Marist College
Division I,MAAC,Merrimack College
Division I,MAAC,Mount St. Mary's University
Division I,MAAC,Niagara University
Division I,MAAC,Quinnipiac University
Division I,MAAC,Rider University
Division I,MAAC,Sacred Heart University
Division I,MAAC,Saint Peter's University
Division I,MAAC,Siena College
Division I,MAC,University of Akron
Division I,MAC,Ball State University
Division I,MAC,Bowling Green State University (Bowling Green)
Division I,MAC,University at Buffalo
Division I,MAC,Central Michigan University
Division I,MAC,Eastern Michigan University
Division I,MAC,Kent State University
Division I,MAC,Miami University (Miami (OH))
Division I,MAC,Northern Illinois University (NIU)
Division I,MAC,Ohio University
Division I,MAC,University of Toledo
Division I,MAC,Western Michigan University
Division I,MEAC,Coppin State University
Division I,MEAC,Delaware State University
Division I,MEAC,Howard University
Division I,MEAC,University of Maryland Eastern Shore (UMES)
Division I,MEAC,Morgan State University
Division I,MEAC,Norfolk State University
Division I,MEAC,North Carolina Central University (NCCU)
Division I,MEAC,South Carolina State University (SC State)
Division I,Missouri Valley,Belmont University
Division I,Missouri Valley,Bradley University
Division I,Missouri Valley,Drake University
Division I,Missouri Valley,University of Evansville
Division I,Missouri Valley,Illinois State University
Division I,Missouri Valley,Indiana State University
Division I,Missouri Valley,Missouri State University
Division I,Missouri Valley,Murray State University
Division I,Missouri Valley,University of Northern Iowa (UNI)
Division I,Missouri Valley,"Southern Illinois University Carbondale (Southern Illinois, SIU)"
Division I,Missouri Valley,University of Illinois Chicago (UIC)
Division I,Missouri Valley,Valparaiso University (Valpo)
Division I,Mountain West,United States Air Force Academy (Air Force)
Division I,Mountain West,Boise State University
Division I,Mountain West,Colorado State University
Division I,Mountain West,"California State University, Fresno (Fresno State)"
Division I,Mountain West,"University of Nevada, Reno (Nevada, UNR)"
Division I,Mountain West,University of New Mexico (UNM)
Division I,Mountain West,San Diego State University (SDSU)
Division I,Mountain West,San Jose State University
Division I,Mountain West,"University of Nevada, Las Vegas (UNLV)"
Division I,Mountain West,Utah State University
Division I,Mountain West,University of Wyoming
Division I,Northeast,Central Connecticut State University (Central Connecticut)
Division I,Northeast,Chicago State University
Division I,Northeast,Fairleigh Dickinson University
Division I,Northeast,Le Moyne College[e]
Division I,Northeast,Long Island University (LIU)
Division I,Northeast,Mercyhurst University[b]
Division I,Northeast,"Saint Francis University (Saint Francis [PA], SFU)"
Division I,Northeast,Stonehill College[a]
Division I,Northeast,Wagner College
Division I,Ohio Valley,Eastern Illinois University
Division I,Ohio Valley,Lindenwood University[a]
Division I,Ohio Valley,University of Arkansas at Little Rock (Little Rock)
Division I,Ohio Valley,Morehead State University
Division I,Ohio Valley,Southeast Missouri State University (Southeast Missouri or SEMO)
Division I,Ohio Valley,Southern Illinois University Edwardsville (SIU Edwardsville or SIUE)
Division I,Ohio Valley,University of Southern Indiana[a]
Division I,Ohio Valley,University of Tennessee at Martin (UT Martin)
Division I,Ohio Valley,Tennessee State University
Division I,Ohio Valley,Tennessee Technological University (Tennessee Tech)
Division I,Ohio Valley,Western Illinois University
Division I,Patriot League,American University
Division I,Patriot League,United States Military Academy (Army or Army West Point)
Division I,Patriot League,Boston University
Division I,Patriot League,Bucknell University
Division I,Patriot League,Colgate University
Division I,Patriot League,College of the Holy Cross
Division I,Patriot League,Lafayette College
Division I,Patriot League,Lehigh University
Division I,Patriot League,Loyola University Maryland (Loyola Maryland)
Division I,Patriot League,United States Naval Academy (Navy)
Division I,SEC,University of Alabama
Division I,SEC,University of Arkansas
Division I,SEC,Auburn University
Division I,SEC,University of Florida
Division I,SEC,University of Georgia (UGA)
Division I,SEC,University of Kentucky (UK)
Division I,SEC,Louisiana State University (LSU)
Division I,SEC,University of Mississippi (Ole Miss)
Division I,SEC,Mississippi State University
Division I,SEC,University of Missouri (Mizzou)
Division I,SEC,University of Oklahoma
Division I,SEC,University of South Carolina
Division I,SEC,University of Tennessee
Division I,SEC,University of Texas at Austin (Texas)
Division I,SEC,Texas A&M University
Division I,SEC,Vanderbilt University (Vandy)
Division I,Southern,University of Tennessee at Chattanooga (Chattanooga)
Division I,Southern,The Citadel
Division I,Southern,East Tennessee State University (ETSU)
Division I,Southern,Furman University
Division I,Southern,Mercer University
Division I,Southern,Samford University
Division I,Southern,University of North Carolina at Greensboro (UNCG or UNC Greensboro)
Division I,Southern,Virginia Military Institute (VMI)
Division I,Southern,Western Carolina University
Division I,Southern,Wofford College
Division I,Southland,East Texas A&M University[a]
Division I,Southland,Houston Christian University (HCU)
Division I,Southland,University of the Incarnate Word (UIW)
Division I,Southland,Lamar University
Division I,Southland,McNeese State University (McNeese)
Division I,Southland,University of New Orleans
Division I,Southland,Nicholls State University (Nicholls)
Division I,Southland,Northwestern State University
Division I,Southland,Southeastern Louisiana University
Division I,Southland,"Stephen F. Austin State University (Stephen F. Austin, SFA)"
Division I,Southland,Texas A&M University-Corpus Christi
Division I,Southland,University of Texas Rio Grande Valley (UTRGV)
Division I,The Summit,University of Denver
Division I,The Summit,University of Missouri–Kansas City (Kansas City)
Division I,The Summit,University of North Dakota
Division I,The Summit,North Dakota State University (NDSU)
Division I,The Summit,University of Nebraska Omaha (Omaha)
Division I,The Summit,Oral Roberts University
Division I,The Summit,University of St. Thomas[f]
Division I,The Summit,University of South Dakota
Division I,The Summit,South Dakota State University
Division I,Sun Belt,Appalachian State University
Division I,Sun Belt,Arkansas State University
Division I,Sun Belt,Coastal Carolina University
Division I,Sun Belt,Georgia Southern University
Division I,Sun Belt,Georgia State University
Division I,Sun Belt,James Madison University (JMU)
Division I,Sun Belt,University of Louisiana at Lafayette (Louisiana)
Division I,Sun Belt,University of Louisiana at Monroe (Louisiana–Monroe or ULM)
Division I,Sun Belt,Marshall University
Division I,Sun Belt,Old Dominion University
Division I,Sun Belt,University of South Alabama
Division I,Sun Belt,University of Southern Mississippi (Southern Miss)
Division I,Sun Belt,Texas State University
Division I,Sun Belt,Troy University
Division I,SWAC,Alabama Agricultural and Mechanical University (Alabama A&M)
Division I,SWAC,Alabama State University
Division I,SWAC,Alcorn State University
Division I,SWAC,"University of Arkansas at Pine Bluff (Arkansas–Pine Bluff, UAPB)"
Division I,SWAC,Bethune–Cookman University
Division I,SWAC,"Florida Agricultural and Mechanical University (Florida A&M, FAMU)"
Division I,SWAC,Grambling State University
Division I,SWAC,Jackson State University
Division I,SWAC,Mississippi Valley State University
Division I,SWAC,Prairie View A&M University
Division I,SWAC,Southern University
Division I,SWAC,Texas Southern University
Division I,WAC,Abilene Christian University
Division I,WAC,California Baptist University (CBU)
Division I,WAC,Grand Canyon University
Division I,WAC,Seattle University
Division I,WAC,Southern Utah University
Division I,WAC,Tarleton State University (Tarleton)
Division I,WAC,Utah Tech University[h]
Division I,WAC,Utah Valley University
Division I,WAC,University of Texas at Arlington (UT Arlington)
Division I,West Coast,Gonzaga University
Division I,West Coast,Loyola Marymount University
Division I,West Coast,Oregon State University
Division I,West Coast,University of the Pacific
Division I,West Coast,Pepperdine University
Division I,West Coast,University of Portland
Division I,West Coast,Saint Mary's College of California (Saint Mary's)
Division I,West Coast,University of San Diego
Division I,West Coast,University of San Francisco
Division I,West Coast,Santa Clara University
Division I,West Coast,Washington State University
