Id,Season,Week,SeasonType,StartDate,StartTimeTBD,Completed,NeutralSite,ConferenceGame,Attendance,VenueId,Venue,HomeId,HomeTeam,HomeClassification,HomeConference,HomePoints,1stQuarterPoints,2ndQuarterPoints,3rdQuarterPoints,4thQuarterPoints,HomePostgameWinProbability,HomePregameElo,HomePostgameElo,AwayId,AwayTeam,AwayClassification,AwayConference,AwayPoints,AwayLineScores[0],AwayLineScores[1],AwayLineScores[2],AwayLineScores[3],AwayPostgameWinProbability,AwayPregameElo,AwayPostgameElo,ExcitementIndex,Highlights,Notes,FirstDowns,3rdDownEfficiency,4thDownEfficiency,TotalYards,Passing,CompAtt,YardsPerPass,Rushing,RushingAtt,YardsPerRush,Penalties,Interceptions,Fumbles,Turnovers Total
401628454,2024,1,regular,2024-08-31T19:30:00.000Z,FALSE,TRUE,FALSE,FALSE,86072,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,40,7,23,7,3,0.9829337715,1507,1571,2638,UTEP,fbs,Conference USA,7,7,0,0,0,0.01706622847,1296,1232,3.541056616,,,30,11-17,0-2,507,284,25/36,7.9,223,47,4.7,3-35,0,1,1
401628467,2024,2,regular,2024-09-07T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,86906,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,28,14,14,0,0,0.9651964218,1571,1588,38,Colorado,fbs,Big 12,10,0,0,3,7,0.03480357819,1324,1307,3.268239936,,,22,3-12,0-0,334,185,23/30,6.2,149,35,4.3,12-105,0,0,0
401628482,2024,3,regular,2024-09-14T23:30:00.000Z,FALSE,TRUE,FALSE,FALSE,86546,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,34,7,14,6,7,0.9981665662,1596,1596,2460,Northern Iowa,fcs,MVFC,3,3,0,0,0,0.00183343376,,,3.088543749,,,22,4-7,0-1,423,281,20/26,10.8,142,22,6.5,4-44,1,0,1
401628485,2024,4,regular,2024-09-21T00:00:00.000Z,FALSE,TRUE,FALSE,TRUE,87464,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,24,10,7,0,7,0.3547871322,1588,1570,356,Illinois,fbs,Big Ten,31,7,3,7,7,0.6452128678,1533,1551,7.73823899,,,20,8-15,0-1,345,297,24/35,8.5,48,33,1.5,10-89,1,0,1
401628499,2024,5,regular,2024-09-28T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,61441,3907,Ross-Ade Stadium,2509,Purdue,fbs,Big Ten,10,0,0,3,7,0.007497810628,1343,1322,158,Nebraska,fbs,Big Ten,28,0,0,7,21,0.9925021894,1570,1591,4.34939179,,,25,1-8,1-1,418,257,17/27,9.5,161,32,5,11-94,0,0,0
401628508,2024,6,regular,2024-10-05T20:00:00.000Z,FALSE,TRUE,FALSE,TRUE,87453,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,14,7,7,0,0,0.9937249744,1591,1597,164,Rutgers,fbs,Big Ten,7,0,0,0,7,0.006275025616,1527,1521,4.551453136,,,15,7-19,3-3,261,164,14/28,5.9,97,42,2.3,7-37,1,0,1
401628519,2024,8,regular,2024-10-19T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,53082,3830,"Memorial Stadium (Bloomington, IN)",84,Indiana,fbs,Big Ten,56,7,21,14,14,0.9988809781,1648,1791,158,Nebraska,fbs,Big Ten,7,0,7,0,0,0.001119021918,1597,1454,5.154908158,,,20,7-16,0-5,304,234,28/46,5.1,70,29,2.4,6-47,3,2,5
401628530,2024,9,regular,2024-10-26T16:00:00.000Z,FALSE,TRUE,FALSE,TRUE,102780,3861,Ohio Stadium,194,Ohio State,fbs,Big Ten,21,7,7,0,7,0.9923267213,2076,2063,158,Nebraska,fbs,Big Ten,17,0,6,3,8,0.007673278696,1454,1467,7.447834909,,,18,5-16,0-1,273,152,21/33,4.6,121,33,3.7,7-62,1,0,1
401628537,2024,10,regular,2024-11-02T19:30:00.000Z,FALSE,TRUE,FALSE,TRUE,87453,3834,"Memorial Stadium (Lincoln, NE)",158,Nebraska,fbs,Big Ten,20,0,7,7,6,0.007659684793,1467,1453,26,UCLA,fbs,Big Ten,27,3,10,14,0,0.9923403152,1456,1470,4.03361246,,,21,9-17,1-3,322,209,16-34,6.1,113,38,3,2-15,2,0,2
401628549,2024,12,regular,2024-11-16T21:00:00.000Z,FALSE,TRUE,FALSE,TRUE,75304,477,Los Angeles Memorial Coliseum,30,USC,fbs,Big Ten,28,7,7,7,7,0.9958261662,1767,1761,158,Nebraska,fbs,Big Ten,20,7,7,6,0,0.004173833781,1453,1459,7.848171368,,,19,5-13,1-1,310,191,27/38,5,119,25,4.8,5-40,2,0,2
