Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,A-10,Davidson College
Sports,Basketball,NCAA,Division I,A-10,University of Dayton
Sports,Basketball,NCAA,Division I,A-10,Duquesne University
Sports,Basketball,NCAA,Division I,A-10,Fordham University
Sports,Basketball,NCAA,Division I,A-10,George Mason University
Sports,Basketball,NCAA,Division I,A-10,George Washington University (GW)
Sports,Basketball,NCAA,Division I,A-10,La Salle University
Sports,Basketball,NCAA,Division I,A-10,Loyola University Chicago (Loyola Chicago)
Sports,Basketball,NCAA,Division I,A-10,University of Massachusetts Amherst (UMass)
Sports,Basketball,NCAA,Division I,A-10,University of Rhode Island
Sports,Basketball,NCAA,Division I,A-10,University of Richmond
Sports,Basketball,NCAA,Division I,A-10,St. Bonaventure University
Sports,Basketball,NCAA,Division I,A-10,Saint Joseph's University (Saint Joe's)
Sports,Basketball,NCAA,Division I,A-10,Saint Louis University (SLU)
Sports,Basketball,NCAA,Division I,A-10,Virginia Commonwealth University (VCU)
Sports,Basketball,NCAA,Division I,ACC,Boston College (BC)
Sports,Basketball,NCAA,Division I,ACC,"University of California, Berkeley (California, Cal)"
Sports,Basketball,NCAA,Division I,ACC,Clemson University
Sports,Basketball,NCAA,Division I,ACC,Duke University
Sports,Basketball,NCAA,Division I,ACC,Florida State University (FSU)
Sports,Basketball,NCAA,Division I,ACC,Georgia Institute of Technology (Georgia Tech)
Sports,Basketball,NCAA,Division I,ACC,University of Louisville
Sports,Basketball,NCAA,Division I,ACC,University of Miami (often Miami (FL) or UM)
Sports,Basketball,NCAA,Division I,ACC,"University of North Carolina at Chapel Hill (North Carolina, UNC)"
Sports,Basketball,NCAA,Division I,ACC,North Carolina State University (NC State)
Sports,Basketball,NCAA,Division I,ACC,University of Notre Dame
Sports,Basketball,NCAA,Division I,ACC,University of Pittsburgh (Pitt)
Sports,Basketball,NCAA,Division I,ACC,Southern Methodist University (SMU)
Sports,Basketball,NCAA,Division I,ACC,Stanford University
Sports,Basketball,NCAA,Division I,ACC,Syracuse University
Sports,Basketball,NCAA,Division I,ACC,University of Virginia (UVA)
Sports,Basketball,NCAA,Division I,ACC,Virginia Polytechnic Institute and State University (Virginia Tech)
Sports,Basketball,NCAA,Division I,ACC,Wake Forest University
Sports,Basketball,NCAA,Division I,America East,"University at Albany, SUNY (Albany or UAlbany)"
Sports,Basketball,NCAA,Division I,America East,Binghamton University
Sports,Basketball,NCAA,Division I,America East,Bryant University
Sports,Basketball,NCAA,Division I,America East,University of Maine (UMaine)
Sports,Basketball,NCAA,Division I,America East,"University of Maryland, Baltimore County (UMBC)"
Sports,Basketball,NCAA,Division I,America East,University of Massachusetts Lowell (UMass Lowell)
Sports,Basketball,NCAA,Division I,America East,University of New Hampshire
Sports,Basketball,NCAA,Division I,America East,New Jersey Institute of Technology (NJIT)
Sports,Basketball,NCAA,Division I,America East,University of Vermont
Sports,Basketball,NCAA,Division I,The American,University of North Carolina at Charlotte (Charlotte)
Sports,Basketball,NCAA,Division I,The American,East Carolina University (ECU)
Sports,Basketball,NCAA,Division I,The American,Florida Atlantic University (FAU)
Sports,Basketball,NCAA,Division I,The American,University of Memphis (U of M)
Sports,Basketball,NCAA,Division I,The American,University of North Texas (UNT)
Sports,Basketball,NCAA,Division I,The American,Rice University
Sports,Basketball,NCAA,Division I,The American,University of South Florida (USF)
Sports,Basketball,NCAA,Division I,The American,Temple University
Sports,Basketball,NCAA,Division I,The American,University of Alabama at Birmingham (UAB)
Sports,Basketball,NCAA,Division I,The American,University of Texas at San Antonio (UTSA)
Sports,Basketball,NCAA,Division I,The American,Tulane University
Sports,Basketball,NCAA,Division I,The American,University of Tulsa
