Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division II,CACC,Bloomfield
Sports,Basketball,NCAA,Division II,CACC,Bridgeport
Sports,Basketball,NCAA,Division II,CACC,Caldwell
Sports,Basketball,NCAA,Division II,CACC,Chestnut Hill
Sports,Basketball,NCAA,Division II,CACC,Dominican (NY)
Sports,Basketball,NCAA,Division II,CACC,Felician
Sports,Basketball,NCAA,Division II,CACC,Georgian Court
Sports,Basketball,NCAA,Division II,CACC,Goldey–Beacom
Sports,Basketball,NCAA,Division II,CACC,Holy Family
Sports,Basketball,NCAA,Division II,CACC,Jefferson (Thomas Jefferson)
Sports,Basketball,NCAA,Division II,CACC,Post
Sports,Basketball,NCAA,Division II,CACC,Wilmington
Sports,Basketball,NCAA,Division II,Carolinas,Barton
Sports,Basketball,NCAA,Division II,Carolinas,Belmont Abbey
Sports,Basketball,NCAA,Division II,Carolinas,Chowan
Sports,Basketball,NCAA,Division II,Carolinas,Converse
Sports,Basketball,NCAA,Division II,Carolinas,Emmanuel
Sports,Basketball,NCAA,Division II,Carolinas,Erskine
Sports,Basketball,NCAA,Division II,Carolinas,Francis Marion
Sports,Basketball,NCAA,Division II,Carolinas,King
Sports,Basketball,NCAA,Division II,Carolinas,Lees–McRae
Sports,Basketball,NCAA,Division II,Carolinas,Mount Olive
Sports,Basketball,NCAA,Division II,Carolinas,North Greenville
Sports,Basketball,NCAA,Division II,Carolinas,Shorter
Sports,Basketball,NCAA,Division II,Carolinas,Southern Wesleyan
Sports,Basketball,NCAA,Division II,Carolinas,UNC Pembroke
Sports,Basketball,NCAA,Division II,Carolinas,Young Harris
Sports,Basketball,NCAA,Division II,CCAA,Cal Poly Humboldt
Sports,Basketball,NCAA,Division II,CCAA,Cal Poly Pomona
Sports,Basketball,NCAA,Division II,CCAA,Cal State Dominguez Hills
Sports,Basketball,NCAA,Division II,CCAA,Cal State East Bay
Sports,Basketball,NCAA,Division II,CCAA,Cal State Los Angeles
Sports,Basketball,NCAA,Division II,CCAA,Cal State Monterey Bay
Sports,Basketball,NCAA,Division II,CCAA,Cal State San Bernardino
Sports,Basketball,NCAA,Division II,CCAA,Cal State San Marcos
Sports,Basketball,NCAA,Division II,CCAA,Cal State Stanislaus
Sports,Basketball,NCAA,Division II,CCAA,Chico State
Sports,Basketball,NCAA,Division II,CCAA,San Francisco State
Sports,Basketball,NCAA,Division II,CCAA,Sonoma State
Sports,Basketball,NCAA,Division II,CIAA,Bluefield State
Sports,Basketball,NCAA,Division II,CIAA,Bowie State
Sports,Basketball,NCAA,Division II,CIAA,Claflin
Sports,Basketball,NCAA,Division II,CIAA,Elizabeth City State
Sports,Basketball,NCAA,Division II,CIAA,Fayetteville State
Sports,Basketball,NCAA,Division II,CIAA,Johnson C. Smith
Sports,Basketball,NCAA,Division II,CIAA,Lincoln (PA)
Sports,Basketball,NCAA,Division II,CIAA,Livingstone
Sports,Basketball,NCAA,Division II,CIAA,Saint Augustine's
Sports,Basketball,NCAA,Division II,CIAA,Shaw
Sports,Basketball,NCAA,Division II,CIAA,Virginia State
