Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,Alfred State College
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,Carlow University
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,Hilbert College
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,La Roche University
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,Mount Aloysius College
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,"Pennsylvania State University, Altoona"
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,"Pennsylvania State University, Behrend"
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,University of Pittsburgh at Bradford
Sports,Basketball,NCAA,Division III,Allegheny Mountain Collegiate Conference,University of Pittsburgh at Greensburg
Sports,Basketball,NCAA,Division III,American Rivers Conference,Buena Vista University
Sports,Basketball,NCAA,Division III,American Rivers Conference,Central College
Sports,Basketball,NCAA,Division III,American Rivers Conference,Coe College
Sports,Basketball,NCAA,Division III,American Rivers Conference,University of Dubuque
Sports,Basketball,NCAA,Division III,American Rivers Conference,Loras College
Sports,Basketball,NCAA,Division III,American Rivers Conference,Luther College
Sports,Basketball,NCAA,Division III,American Rivers Conference,Nebraska Wesleyan University
Sports,Basketball,NCAA,Division III,American Rivers Conference,Simpson College
Sports,Basketball,NCAA,Division III,American Rivers Conference,Wartburg College
Sports,Basketball,NCAA,Division III,American Southwest Conference,East Texas Baptist University
Sports,Basketball,NCAA,Division III,American Southwest Conference,Hardin–Simmons University
Sports,Basketball,NCAA,Division III,American Southwest Conference,Howard Payne University
Sports,Basketball,NCAA,Division III,American Southwest Conference,University of Mary Hardin–Baylor
Sports,Basketball,NCAA,Division III,American Southwest Conference,University of Texas at Dallas[e][6]
Sports,Basketball,NCAA,Division III,American Southwest Conference,LeTourneau University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Centenary University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Gwynedd Mercy University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Immaculata University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Marymount University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Marywood University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Neumann University
Sports,Basketball,NCAA,Division III,Atlantic East Conference,Pratt Institute
Sports,Basketball,NCAA,Division III,Centennial Conference,Bryn Mawr College
Sports,Basketball,NCAA,Division III,Centennial Conference,Dickinson College
Sports,Basketball,NCAA,Division III,Centennial Conference,Franklin & Marshall College
Sports,Basketball,NCAA,Division III,Centennial Conference,Gettysburg College
Sports,Basketball,NCAA,Division III,Centennial Conference,Haverford College
Sports,Basketball,NCAA,Division III,Centennial Conference,Johns Hopkins University
Sports,Basketball,NCAA,Division III,Centennial Conference,McDaniel College
Sports,Basketball,NCAA,Division III,Centennial Conference,Muhlenberg College
Sports,Basketball,NCAA,Division III,Centennial Conference,Swarthmore College
Sports,Basketball,NCAA,Division III,Centennial Conference,Ursinus College
Sports,Basketball,NCAA,Division III,Centennial Conference,Washington College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,Baruch College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,Brooklyn College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,City College of New York
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,Hunter College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,John Jay College of Criminal Justice
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,Lehman College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,Medgar Evers College
Sports,Basketball,NCAA,Division III,City University of New York Athletic Conference,"York College, City University of New York"
Sports,Basketball,NCAA,Division III,Coast to Coast Athletic Conference,"University of California, Santa Cruz"
Sports,Basketball,NCAA,Division III,Coast to Coast Athletic Conference,Christopher Newport University
Sports,Basketball,NCAA,Division III,Coast to Coast Athletic Conference,University of Mary Washington
