Division,Conference,School
Division II,CACC,Bloomfield
Division II,CACC,Bridgeport
Division II,CACC,Caldwell
Division II,CACC,Chestnut Hill
Division II,CACC,Dominican (NY)
Division II,CACC,Felician
Division II,CACC,Georgian Court
Division II,CACC,Goldey–Beacom
Division II,CACC,Holy Family
Division II,CACC,Jefferson (Thomas Jefferson)
Division II,CACC,Post
Division II,CACC,Wilmington
Division II,Carolinas,Barton
Division II,Carolinas,Belmont Abbey
Division II,Carolinas,Chowan
Division II,Carolinas,Converse
Division II,Carolinas,Emmanuel
Division II,Carolinas,Erskine
Division II,Carolinas,Francis Marion
Division II,Carolinas,King
Division II,Carolinas,Lees–McRae
Division II,Carolinas,Mount Olive
Division II,Carolinas,North Greenville
Division II,Carolinas,Shorter
Division II,Carolinas,Southern Wesleyan
Division II,Carolinas,UNC Pembroke
Division II,Carolinas,Young Harris
Division II,CCAA,Cal Poly Humboldt
Division II,CCAA,Cal Poly Pomona
Division II,CCAA,Cal State Dominguez Hills
Division II,CCAA,Cal State East Bay
Division II,CCAA,Cal State Los Angeles
Division II,CCAA,Cal State Monterey Bay
Division II,CCAA,Cal State San Bernardino
Division II,CCAA,Cal State San Marcos
Division II,CCAA,Cal State Stanislaus
Division II,CCAA,Chico State
Division II,CCAA,San Francisco State
Division II,CCAA,Sonoma State
Division II,CIAA,Bluefield State
Division II,CIAA,Bowie State
Division II,CIAA,Claflin
Division II,CIAA,Elizabeth City State
Division II,CIAA,Fayetteville State
Division II,CIAA,Johnson C. Smith
Division II,CIAA,Lincoln (PA)
Division II,CIAA,Livingstone
Division II,CIAA,Saint Augustine's
Division II,CIAA,Shaw
Division II,CIAA,Virginia State
Division II,CIAA,Virginia Union
Division II,CIAA,Winston-Salem State
Division II,ECC,D'Youville
Division II,ECC,Daemen
Division II,ECC,Mercy
Division II,ECC,Molloy
Division II,ECC,Queens (NY)
Division II,ECC,Roberts Wesleyan
Division II,ECC,St. Thomas Aquinas
Division II,ECC,Staten Island
Division II,ECC,UDC
Division II,G-MAC,Ashland
Division II,G-MAC,Cedarville
Division II,G-MAC,Findlay
Division II,G-MAC,Hillsdale
Division II,G-MAC,Kentucky Wesleyan
Division II,G-MAC,Lake Erie
Division II,G-MAC,Malone
Division II,G-MAC,Northwood
Division II,G-MAC,Ohio Dominican
Division II,G-MAC,Thomas More
Division II,G-MAC,Tiffin
Division II,G-MAC,Walsh
Division II,GAC,Arkansas–Monticello
Division II,GAC,Arkansas Tech
Division II,GAC,East Central
Division II,GAC,Harding
Division II,GAC,Henderson State
Division II,GAC,Northwestern Oklahoma State
Division II,GAC,Oklahoma Baptist
Division II,GAC,Ouachita Baptist
Division II,GAC,Southeastern Oklahoma State
Division II,GAC,Southern Arkansas
Division II,GAC,Southern Nazarene
Division II,GAC,Southwestern Oklahoma State
