Division,Conference,School
Division III,Allegheny Mountain Collegiate Conference,Alfred State College
Division III,Allegheny Mountain Collegiate Conference,Carlow University
Division III,Allegheny Mountain Collegiate Conference,Hilbert College
Division III,Allegheny Mountain Collegiate Conference,La Roche University
Division III,Allegheny Mountain Collegiate Conference,Mount Aloysius College
Division III,Allegheny Mountain Collegiate Conference,"Pennsylvania State University, Altoona"
Division III,Allegheny Mountain Collegiate Conference,"Pennsylvania State University, Behrend"
Division III,Allegheny Mountain Collegiate Conference,University of Pittsburgh at Bradford
Division III,Allegheny Mountain Collegiate Conference,University of Pittsburgh at Greensburg
Division III,American Rivers Conference,Buena Vista University
Division III,American Rivers Conference,Central College
Division III,American Rivers Conference,Coe College
Division III,American Rivers Conference,University of Dubuque
Division III,American Rivers Conference,Loras College
Division III,American Rivers Conference,Luther College
Division III,American Rivers Conference,Nebraska Wesleyan University
Division III,American Rivers Conference,Simpson College
Division III,American Rivers Conference,Wartburg College
Division III,American Southwest Conference,East Texas Baptist University
Division III,American Southwest Conference,Hardin–Simmons University
Division III,American Southwest Conference,Howard Payne University
Division III,American Southwest Conference,University of Mary Hardin–Baylor
Division III,American Southwest Conference,University of Texas at Dallas[e][6]
Division III,American Southwest Conference,LeTourneau University
Division III,Atlantic East Conference,Centenary University
Division III,Atlantic East Conference,Gwynedd Mercy University
Division III,Atlantic East Conference,Immaculata University
Division III,Atlantic East Conference,Marymount University
Division III,Atlantic East Conference,Marywood University
Division III,Atlantic East Conference,Neumann University
Division III,Atlantic East Conference,Pratt Institute
Division III,Centennial Conference,Bryn Mawr College
Division III,Centennial Conference,Dickinson College
Division III,Centennial Conference,Franklin & Marshall College
Division III,Centennial Conference,Gettysburg College
Division III,Centennial Conference,Haverford College
Division III,Centennial Conference,Johns Hopkins University
Division III,Centennial Conference,McDaniel College
Division III,Centennial Conference,Muhlenberg College
Division III,Centennial Conference,Swarthmore College
Division III,Centennial Conference,Ursinus College
Division III,Centennial Conference,Washington College
Division III,City University of New York Athletic Conference,Baruch College
Division III,City University of New York Athletic Conference,Brooklyn College
Division III,City University of New York Athletic Conference,City College of New York
Division III,City University of New York Athletic Conference,Hunter College
Division III,City University of New York Athletic Conference,John Jay College of Criminal Justice
Division III,City University of New York Athletic Conference,Lehman College
Division III,City University of New York Athletic Conference,Medgar Evers College
Division III,City University of New York Athletic Conference,"York College, City University of New York"
Division III,Coast to Coast Athletic Conference,"University of California, Santa Cruz"
Division III,Coast to Coast Athletic Conference,Christopher Newport University
Division III,Coast to Coast Athletic Conference,University of Mary Washington
Division III,Coast to Coast Athletic Conference,Mount Mary University
Division III,Coast to Coast Athletic Conference,Salisbury University
Division III,Coast to Coast Athletic Conference,Warren Wilson College
Division III,College Conference of Illinois and Wisconsin,Augustana College
Division III,College Conference of Illinois and Wisconsin,Carroll University
Division III,College Conference of Illinois and Wisconsin,Carthage College
Division III,College Conference of Illinois and Wisconsin,Elmhurst University
Division III,College Conference of Illinois and Wisconsin,Illinois Wesleyan University
Division III,College Conference of Illinois and Wisconsin,Millikin University
Division III,College Conference of Illinois and Wisconsin,North Central College
Division III,College Conference of Illinois and Wisconsin,North Park University
Division III,College Conference of Illinois and Wisconsin,Wheaton College
Division III,Collegiate Conference of the South,Agnes Scott College
Division III,Collegiate Conference of the South,Asbury University
Division III,Collegiate Conference of the South,Belhaven University
Division III,Collegiate Conference of the South,Covenant College
Division III,Collegiate Conference of the South,Huntingdon College
Division III,Collegiate Conference of the South,LaGrange College
Division III,Collegiate Conference of the South,Piedmont University
Division III,Collegiate Conference of the South,Wesleyan College
Division III,Collegiate Conference of the South,Maryville College
Division III,Conference of New England,Curry College
Division III,Conference of New England,Endicott College
Division III,Conference of New England,Gordon College
Division III,Conference of New England,University of Hartford[A 8]
Division III,Conference of New England,Johnson & Wales University
Division III,Conference of New England,University of New England
Division III,Conference of New England,Nichols College
Division III,Conference of New England,Roger Williams University
Division III,Conference of New England,Suffolk University
Division III,Conference of New England,Wentworth Institute of Technology
Division III,Conference of New England,Western New England University
Division III,Empire 8,Alfred University
Division III,Empire 8,Elmira College
Division III,Empire 8,Hartwick College
Division III,Empire 8,Houghton University
Division III,Empire 8,Keuka College
Division III,Empire 8,Nazareth University
Division III,Empire 8,State University of New York at Brockport
Division III,Empire 8,State University of New York at Geneseo
Division III,Empire 8,State University of New York Polytechnic Institute
Division III,Empire 8,Russell Sage College
Division III,Empire 8,St. John Fisher University
Division III,Empire 8,Utica University
Division III,Great Northeast Athletic Conference,Albertus Magnus College
Division III,Great Northeast Athletic Conference,Colby–Sawyer College
Division III,Great Northeast Athletic Conference,Dean College
Division III,Great Northeast Athletic Conference,Elms College
Division III,Great Northeast Athletic Conference,Emmanuel College
Division III,Great Northeast Athletic Conference,Lasell University
Division III,Great Northeast Athletic Conference,Mitchell College
Division III,Great Northeast Athletic Conference,New England College
Division III,Great Northeast Athletic Conference,Norwich University
Division III,Great Northeast Athletic Conference,Regis College
