Year,Wins,Losses,Coach,PS/G,PA/G,SRS,SOS,ORtg,DRtg,G,Date,Type,Game Location,Opponent,Conf,SRS,,Tm,Opp,OT,W,L,Streak,Arena,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,1,"Mon, Dec 12, 1949",REG,@,Bradley,MVC,14.18,L,54,64,,0,1,L 1,Robertson Memorial Field House,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,2,"Sat, Dec 17, 1949",REG,,Baylor,SWC,-4.94,W,69,55,,1,1,W 1,Nebraska Coliseum,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,3,"Fri, Dec 23, 1949",REG,,Idaho,PCC,-4.27,W,66,45,,2,1,W 2,Nebraska Coliseum,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,4,"Wed, Dec 28, 1949",REG,N,Colorado,Big 7,6.27,L,57,67,,2,2,L 1,,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,5,"Thu, Dec 29, 1949",REG,N,Michigan,Big Ten,6.65,L,65,67,,2,3,L 2,,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,6,"Fri, Dec 30, 1949",REG,N,Iowa State,Big 7,-3.63,W,85,67,,3,3,W 1,,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,7,"Tue, Jan 10, 1950",REG,,Kansas,Big 7,11.76,W,57,56,,4,3,W 2,Nebraska Coliseum,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,8,"Sat, Jan 14, 1950",REG,,Iowa State,Big 7,-3.63,W,64,46,,5,3,W 3,Nebraska Coliseum,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,9,"Mon, Jan 16, 1950",REG,@,Colorado,Big 7,6.27,L,59,72,,5,4,L 1,Balch Fieldhouse,
1949-50,16,7,Harry Good,58.7,53.6,8.12,6.06,,,10,"Mon, Jan 30, 1950",REG,,Kansas State (11),Big 7,16.53,W,65,63,,6,4,W 1,Nebraska Coliseum,
